,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,,,,
0,A,-0.710405641,-0.001999985,TRUE,C,-0.413949557,0.002000013,TRUE,"开启autorange_aperture_time_mode=AUTO, 但是未设置apertureTimeUnit=PLC",,,
1,A,-0.71798541,-0.001999987,TRUE,C,-0.421529982,0.002000014,TRUE,,,,
2,A,-0.725142616,-0.001999986,TRUE,C,-0.428686267,0.002000016,TRUE,,,,
3,A,-0.732855385,-0.001999985,TRUE,C,-0.436399538,0.002000015,TRUE,,,,
4,A,-0.740715375,-0.001999986,TRUE,C,-0.444259865,0.002000015,TRUE,,,,
5,A,-0.749310352,-0.001999985,TRUE,C,-0.452855687,0.002000016,TRUE,,,,
6,A,-0.757347396,-0.001999986,TRUE,C,-0.46089305,0.002000017,TRUE,,,,
7,A,-0.764727525,-0.001999984,TRUE,C,-0.468273213,0.002000012,TRUE,,,,
8,A,-0.772469153,-0.001999987,TRUE,C,-0.476014336,0.002000014,TRUE,,,,
9,A,-0.779433411,-0.001999983,TRUE,C,-0.482979291,0.002000009,TRUE,,,,
10,A,-0.767462677,-0.001999946,TRUE,C,-0.471007896,0.001999974,TRUE,,,,
11,A,-0.747413075,-0.001999943,TRUE,C,-0.450959712,0.001999973,TRUE,,,,
12,A,-0.727970757,-0.001999945,TRUE,C,-0.431518177,0.001999973,TRUE,,,,
13,A,-0.707847823,-0.001999945,TRUE,C,-0.411395132,0.001999973,TRUE,,,,
14,A,-0.687666615,-0.001999949,TRUE,C,-0.391214492,0.001999976,TRUE,,,,
15,A,-0.667723106,-0.001999952,TRUE,C,-0.371270565,0.001999976,TRUE,,,,
16,A,-0.647771372,-0.001999946,TRUE,C,-0.351318818,0.001999974,TRUE,,,,
17,A,-0.627611912,-0.001999947,TRUE,C,-0.331160224,0.001999975,TRUE,,,,
18,A,-0.608036594,-0.001999948,TRUE,C,-0.311584232,0.001999974,TRUE,,,,
19,A,-0.587758074,-0.001999948,TRUE,C,-0.291305086,0.001999971,TRUE,,,,
20,A,-0.568006957,-0.001999949,TRUE,C,-0.271559351,0.001999974,TRUE,,,,
21,A,-0.547914368,-0.00199995,TRUE,C,-0.251466076,0.001999975,TRUE,,,,
22,A,-0.527836613,-0.001999948,TRUE,C,-0.231387803,0.001999973,TRUE,,,,
23,A,-0.50803295,-0.001999946,TRUE,C,-0.211583919,0.001999972,TRUE,,,,
24,A,-0.488082433,-0.001999943,TRUE,C,-0.191633421,0.001999972,TRUE,,,,
25,A,-0.467568452,-0.001999945,TRUE,C,-0.171119437,0.001999973,TRUE,,,,
26,A,-0.448305415,-0.001999942,TRUE,C,-0.151856549,0.001999969,TRUE,,,,
27,A,-0.428110406,-0.001999948,TRUE,C,-0.131661531,0.001999973,TRUE,,,,
28,A,-0.407850063,-0.001999945,TRUE,C,-0.1114015,0.001999972,TRUE,,,,
29,A,-0.388306939,-0.001999946,TRUE,C,-0.091858653,0.001999971,TRUE,,,,
30,A,-0.367921172,-0.001999945,TRUE,C,-0.071472944,0.00199997,TRUE,,,,
31,A,-0.348207144,-0.001999947,TRUE,C,-0.051759175,0.001999972,TRUE,,,,
32,A,-0.329487325,-0.001999913,TRUE,C,-0.033039659,0.001999938,TRUE,,,,
33,A,-0.317948155,-0.001999465,TRUE,C,-0.021506558,0.001999489,TRUE,,,,
34,A,-0.30801809,-0.001996784,TRUE,C,-0.01161234,0.001996807,TRUE,,,,
35,A,-0.298044902,-0.001978946,TRUE,C,-0.001881098,0.00197897,TRUE,,,,
