,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,g,-0.49999888399482084,1.2723639176120165e-13,False,d,0.10000002365113533,2.8450695094921265e-10,False,ds,3.7924966159001705e-07,6.177006968691295e-11,False,b,-2.2629763514209894e-07,3.2914678281137247e-09,False
1,g,-0.4800003401990415,3.860327419939552e-14,False,d,0.10000780039718989,3.914919743324446e-12,False,ds,8.990108219406046e-06,2.436846580587624e-12,False,b,1.2047389579255413e-07,2.9706782717158384e-10,False
2,g,-0.45999884069314306,-1.3063347989077182e-13,False,d,0.10000058012670275,3.6655617978881455e-12,False,ds,4.538761734593916e-08,2.0648089346951967e-12,False,b,-6.384960024543272e-06,3.57284729562718e-12,False
3,g,-0.43999923730317003,1.0345677485439137e-13,False,d,0.09999980106090837,3.3850341092727206e-12,False,ds,4.538761734593916e-08,-1.0541066633569146e-13,False,b,-4.343605537028908e-07,2.824607024292459e-12,False
4,g,-0.4200001218842072,-2.2081072842058788e-13,False,d,0.09999959238257058,2.0759048957428945e-12,False,ds,-2.8847442689987346e-07,-6.94470272327899e-13,False,b,-1.1533074524300996e-07,8.916529900102697e-13,False
5,g,-0.40000028147974354,-1.4545713718335707e-13,False,d,0.09999935588045444,4.0395987160409424e-12,False,ds,1.7058588393670943e-07,-6.324639980141488e-13,False,b,4.533745654898211e-07,3.167550481987953e-12,False
6,g,-0.3800006362636839,3.6132664650605465e-14,False,d,0.10000017668191638,2.5434510434330634e-12,False,ds,5.929853585592837e-08,-7.254734094864284e-13,False,b,-6.84036055975841e-07,1.484009871484004e-12,False
7,g,-0.359999805975171,-4.6632755232892125e-14,False,d,0.09999998191546779,4.1642776887574385e-12,False,ds,-2.745635083890169e-07,1.1657179571276207e-12,False,b,6.499045084300964e-08,2.138720108901471e-12,False
8,g,-0.34000246119387384,1.544130967973753e-14,False,d,0.09999959238257058,1.8577166934857176e-12,False,ds,-2.328307528581819e-07,9.796991341797526e-13,False,b,3.4240767559159946e-07,3.0428437700971787e-12,False
9,g,-0.3200008640937734,-9.264785807858027e-14,False,d,0.10000000973924615,7.667756822097596e-13,False,ds,-7.89267493266424e-07,1.8167838374368871e-12,False,b,-5.037148598898214e-07,4.5081476347964084e-12,False
10,g,-0.29999997803714495,8.430955085145583e-14,False,d,0.09999963411823816,3.4162038524551534e-12,False,ds,8.104881354066215e-07,1.8787901117506374e-12,False,b,-1.8234716581307098e-08,4.040497465213449e-12,False
11,g,-0.2800012669370192,1.0376560104796751e-13,False,d,0.09999995409168941,2.7616392456869316e-12,False,ds,3.0969506903920363e-07,-1.0541066633569146e-13,False,b,3.28536814353346e-07,2.3881335326797115e-12,False
12,g,-0.25999973954706307,-4.4162145684127917e-14,False,d,0.10000031580080822,3.6343920547123302e-12,False,ds,1.5667496542672021e-07,-1.6741694064944167e-13,False,b,-5.73069166076752e-07,2.232250142818725e-12,False
13,g,-0.24000030346143642,4.2618014716117974e-14,False,d,0.1000001627700272,3.0109971911232324e-12,False,ds,-6.589973073570926e-08,-1.9842007780797114e-13,False,b,5.782123166262962e-07,3.853437397378941e-12,False
14,g,-0.22000074189755,1.76030930349256e-14,False,d,0.10000053839103519,2.9798274479441084e-12,False,ds,1.7058588393670943e-07,-5.704577237003986e-13,False,b,6.059540391010684e-07,3.791084041435208e-12,False
15,g,-0.19999993949309475,-8.461837704510952e-14,False,d,0.10000045491970008,2.9174879615858604e-12,False,ds,-9.372156775655505e-08,-4.464451750695894e-13,False,b,1.7595734074209862e-07,2.512840244570486e-12,False
16,g,-0.1800016048277483,1.0839799395189394e-13,False,d,0.09999942543990037,4.1642776887574385e-12,False,ds,-4.832272860423245e-07,8.246834483937227e-13,False,b,8.97242125086177e-07,2.450486888626753e-12,False
17,g,-0.16000094184358168,1.9116341383541738e-13,False,d,0.10000023232947311,3.5720525683507735e-12,False,ds,-3.162962639198519e-07,1.5377556030167394e-12,False,b,-6.146817497897777e-07,3.510493939683447e-12,False
18,g,-0.13999895436667306,1.1488334401740645e-13,False,d,0.09999966194201652,3.914919743324446e-12,False,ds,-1.4936524179737926e-07,-6.324639980141488e-13,False,b,5.643414553889101e-07,2.7310769903752055e-12,False
19,g,-0.12000008990422982,-2.0444294016001854e-13,False,d,0.10000067750992704,1.5148495185153534e-12,False,ds,1.2834593647531936e-06,-6.94470272327899e-13,False,b,3.562785368281182e-07,2.6687236344314726e-12,False
20,g,-0.1000008350649784,4.848571239442651e-14,False,d,0.09999955064690304,1.7018679775900975e-12,False,ds,-2.1891983434819268e-07,9.796991341797526e-13,False,b,-2.540393576168712e-07,2.918137058209713e-12,False
21,g,-0.08000100860254358,-9.264785808059653e-16,False,d,0.09999978714901918,1.9200561798472744e-12,False,ds,-3.858508564706653e-07,3.5963639102901564e-13,False,b,3.0079509187857373e-07,2.3257801767359786e-12,False
22,g,-0.05999938361838539,9.789790336965898e-14,False,d,0.09999989844413266,3.6655617978881455e-12,False,ds,-5.666927971039945e-07,1.7361756808445629e-13,False,b,1.0660303455516801e-07,2.6999003124049934e-12,False
23,g,-0.03999952927189285,-1.7386914699411962e-13,False,d,0.0999996758539057,2.0759048957428945e-12,False,ds,1.1494220989675258e-07,1.1967210942828414e-12,False,b,6.499045084300964e-08,4.009320787239928e-12,False
24,g,-0.019999660983371435,7.689772220518906e-14,False,d,0.09999942543990037,3.0421669343023564e-12,False,ds,8.712037287590679e-08,-7.874796838034874e-13,False,b,-3.233936638038018e-07,2.544016922540698e-12,False
25,g,8.765225354128575e-07,4.848571239442651e-14,False,d,0.10000019059380556,2.9486577047649844e-12,False,ds,-6.640692266747864e-07,2.1578183461674764e-12,False,b,7.169209290010248e-07,3.0116670921269666e-12,False
26,g,0.019999977999469336,1.2816287034198176e-13,False,d,0.10000019059380556,3.883750000145322e-12,False,ds,-2.8847442689987346e-07,2.356238423982065e-13,False,b,-6.562943335010687e-07,1.7022466172887235e-12,False
27,g,0.04000107318653071,-4.107388374815973e-14,False,d,0.09999985670846512,4.0395987160409424e-12,False,ds,1.84496802447566e-07,5.766583511321045e-13,False,b,6.499045084300964e-08,3.915790753322674e-12,False
28,g,0.06000108089534076,-1.8560454235073669e-13,False,d,0.10000035753647579,2.6057905297913115e-12,False,ds,4.0707149861086284e-07,-3.5343576359730974e-13,False,b,5.227288716776191e-07,2.3569568547061907e-12,False
29,g,0.07999963863314902,-1.2476578221246329e-13,False,d,0.09999962020634898,3.0421669343023564e-12,False,ds,-9.372156775655505e-08,1.860188229511768e-14,False,b,-9.89195003199203e-07,2.201073464845204e-12,False
30,g,0.09999995306659405,4.4779798071306044e-14,False,d,0.09999998191546779,2.9174879615858604e-12,False,ds,4.3489333563084126e-07,9.176928598660024e-13,False,b,8.278878188992464e-07,2.606370278484431e-12,False
31,g,0.11999947280439388,3.736796942498757e-14,False,d,0.09999982888468675,3.3538643660969053e-12,False,ds,-6.501583081639298e-07,3.906395281875451e-13,False,b,6.059540391010684e-07,3.541670617656968e-12,False
32,g,0.1400005540494264,-4.014740516748301e-15,False,d,0.10000028797702985,2.3252628411758866e-12,False,ds,5.461806837124897e-07,2.0648089346951967e-12,False,b,-2.9565194132902956e-07,3.510493939683447e-12,False
33,g,0.15999919543940783,-1.537954444104298e-13,False,d,0.10000027406514067,2.6369602729704355e-12,False,ds,5.600916022224789e-07,-1.7485769356881223e-12,False,b,1.3434475702994025e-07,3.510493939683447e-12,False
34,g,0.18000105743805672,-1.1179508208146412e-13,False,d,0.10000030188891904,1.1719823435416805e-12,False,ds,1.0103129138676337e-07,8.246834483937227e-13,False,b,-2.4016849637948506e-07,3.4169639057661935e-12,False
35,g,0.20000121850918426,-1.1426569163040927e-14,False,d,0.10000023232947311,2.0759048957428945e-12,False,ds,-4.275836120015003e-07,2.3438371691153445e-12,False,b,2.337786713085127e-08,4.7887377365481695e-12,False
36,g,0.21999896760931842,-1.43604180021771e-13,False,d,0.1000003297126974,3.2603551365595333e-12,False,ds,1.5667496542672021e-07,-8.804890952757671e-13,False,b,3.4240767559159946e-07,4.134027499127394e-12,False
37,g,0.23999943540508095,4.0456231360955754e-14,False,d,0.10000064968614866,3.6967315410672695e-12,False,ds,-4.414945305114895e-07,-1.0541066633569146e-13,False,b,-1.8234716581307098e-08,3.0740204480706995e-12,False
38,g,0.2599991782153426,-7.504476504365467e-14,False,d,0.09999974541335163,2.1382443821011425e-12,False,ds,-2.467416713681711e-07,6.696677626043841e-13,False,b,4.533745654898211e-07,4.913444448435635e-12,False
39,g,0.2800007334893565,-1.5997196828231448e-13,False,d,0.09999971758957325,3.3538643660969053e-12,False,ds,4.4880425414083047e-07,2.6662697955673596e-13,False,b,2.17569924454257e-07,2.606370278484431e-12,False
40,g,0.3000019959807642,8.276541988349759e-14,False,d,0.09999971758957325,3.914919743324446e-12,False,ds,-5.249600415722921e-07,-1.0975110553788559e-12,False,b,4.395037042533023e-07,2.6375469564579518e-12,False
41,g,0.32000200368957427,3.551501226342734e-14,False,d,0.1000004270959217,3.0421669343023564e-12,False,ds,-5.527818785931379e-07,7.626771740766638e-13,False,b,2.730533694038015e-07,4.071674143183661e-12,False
42,g,0.34000000374622796,1.244569560188613e-13,False,d,0.0999998706203543,6.732664526723875e-13,False,ds,2.957841505292144e-07,-1.9842007780797114e-13,False,b,-5.869400273141381e-07,2.138720108901471e-12,False
43,g,0.3599994537738835,2.7794357423532723e-14,False,d,0.09999985670846512,3.3850341092727206e-12,False,ds,-7.197129007156106e-07,1.0417054084968116e-12,False,b,5.088580104393656e-07,2.0451900749842175e-12,False
44,g,0.38000089751166644,-5.466223626636288e-14,False,d,0.09999896634755726,1.8577166934857176e-12,False,ds,-3.997617749815219e-07,7.626771740766638e-13,False,b,-4.482314149402769e-07,2.2634268207922457e-12,False
45,g,0.4000008633943899,-1.3433939421391813e-13,False,d,0.0999998706203543,2.4811115570748154e-12,False,ds,-3.858508564706653e-07,1.630765014489019e-12,False,b,-1.0145988400562383e-07,2.512840244570486e-12,False
46,g,0.4199999230452372,1.056185582095536e-13,False,d,0.09999945326367875,2.8551484752276123e-12,False,ds,-1.1926841300621827e-06,7.316740369214431e-13,False,b,-1.8468505142994057e-07,2.3881335326797115e-12,False
47,g,0.4399991221163732,-5.558871484732394e-15,False,d,0.09999977323713,2.7304695025078075e-12,False,ds,1.1494220989675258e-07,1.35173678007218e-12,False,b,-1.5694332895516833e-07,3.0740204480706995e-12,False
48,g,0.4600000918251748,-3.5515012263479036e-14,False,d,0.09999973150146245,2.0447351525637704e-12,False,ds,1.9840772095842257e-07,-9.114922324309878e-13,False,b,7.886131208039576e-08,2.2946034987624578e-12,False
49,g,0.4799993606064551,-1.3433939421391813e-13,False,d,0.09999988453224348,2.0135654093846464e-12,False,ds,5.322697652025005e-07,1.6617681516475485e-12,False,b,-3.927479699907324e-07,1.7957766512059772e-12,False
50,g,0.4999988245761395,-6.114758633187539e-14,False,d,0.10000087227637565,3.852580256966198e-12,False,ds,3.0969506903920363e-07,1.860188229511768e-14,False,b,6.499045084300964e-08,6.347571635161344e-12,False
51,g,0.5200015788646356,8.060363652833537e-14,False,d,0.10000034362458661,1.3901705457955486e-12,False,ds,-2.1891983434819268e-07,7.006708997596049e-13,False,b,-1.5694332895516833e-07,1.484009871484004e-12,False
52,g,0.5399999971821552,-9.388316285296238e-14,False,d,0.09999995409168941,3.883750000145322e-12,False,ds,1.0103129138676337e-07,1.0417054084968116e-12,False,b,6.336957615758407e-07,3.635200651570913e-12,False
53,g,0.5600006183402352,2.0073702583663958e-14,False,d,0.0999998706203543,2.5122813002539394e-12,False,ds,-1.1370404560222258e-06,-4.340439201863253e-14,False,b,8.140169576627276e-07,3.0116670921269666e-12,False
54,g,0.5799997895273135,-5.4971062459964867e-14,False,d,0.10000051056725683,1.5148495185153534e-12,False,ds,1.2834593647531936e-06,4.836489396598248e-13,False,b,5.088580104393656e-07,2.4193102106532323e-12,False
55,g,0.6000001039607585,1.1457451782380446e-13,False,d,0.10000014885813802,2.9798274479441084e-12,False,ds,3.7924966159001705e-07,1.3207336429136506e-12,False,b,2.5918250816641536e-07,4.5393243127666205e-12,False
56,g,0.6200010838209735,-1.7664858273645997e-13,False,d,0.09999992626791103,4.0707684592200665e-12,False,ds,-1.9109799732821425e-07,9.176928598660024e-13,False,b,2.0369906321687087e-07,1.6710699393185114e-12,False
57,g,0.6399987018533853,-4.539745045851002e-14,False,d,0.0999999680035786,2.4499418138956914e-12,False,ds,2.401404764883902e-07,1.1037116828105618e-12,False,b,2.730533694038015e-07,1.6087165833747785e-12,False
58,g,0.65999952635258,4.292684090971996e-14,False,d,0.10000056621481357,3.5408828251716494e-12,False,ds,7.965772168966323e-07,1.2587273685999004e-12,False,b,-2.2629763514209894e-07,2.169896786874992e-12,False
59,g,0.6799993749705797,-1.0932447253272576e-13,False,d,0.1000003297126974,5.192879213678457e-12,False,ds,-3.162962639198519e-07,1.0417054084968116e-12,False,b,6.059540391010684e-07,3.604023973600701e-12,False
60,g,0.6999990841769803,-1.2105986788934282e-13,False,d,0.09999939761612199,2.2005838684593905e-12,False,ds,2.957841505292144e-07,1.5377556030167394e-12,False,b,-1.985559126673267e-07,4.289910888991689e-12,False
61,g,0.7199987933833809,-1.488542253129014e-13,False,d,0.0999995784706814,1.8577166934857176e-12,False,ds,-1.0763248626654426e-07,8.246834483937227e-13,False,b,-5.453274436019798e-07,3.510493939683447e-12,False
62,g,0.7400000361173732,-1.096332987263019e-13,False,d,0.09999974541335163,2.2940930979967626e-12,False,ds,-7.753565747564348e-07,-6.94470272327899e-13,False,b,-2.540393576168712e-07,2.824607024292459e-12,False
