,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,master,-0.5000011382661621,-1.587937627026307e-13,False,slave1,0.0999998720004603,9.746052806908007e-10,False,slave2,-7.313027450273069e-08,-7.79677103232912e-10,False,slave3,2.790602065408723e-07,-5.710460944049815e-09,False
1,master,-0.4799994435728507,-3.021929308388935e-13,False,slave1,0.10001044282409764,4.374376814522629e-12,False,slave2,1.732257276591386e-05,-1.464434710232552e-11,False,slave3,4.536098297226558e-06,-7.488219101406686e-11,False
2,master,-0.46000040037943646,-1.5910214801046546e-13,False,slave1,0.09999996949158739,5.527168425187585e-12,False,slave2,-3.228293612069638e-07,-1.5946342399315497e-11,False,slave3,3.3470776328141383e-07,-6.895993980999028e-11,False
3,master,-0.4400018061172218,-2.4051586927491366e-13,False,slave1,0.09999952381786353,7.521186346337152e-12,False,slave2,-7.313027450273069e-08,-1.4241348558021699e-11,False,slave3,1.4734312020481255e-08,-6.9988541334908e-11,False
4,master,-0.4200010513736093,-2.0320124702871685e-13,False,slave1,0.09999999734619512,6.804586155923354e-12,False,slave2,6.559144033295439e-08,-1.4923346094537895e-11,False,slave3,-1.3089466349355816e-08,-6.98638623621915e-11,False
5,master,-0.3999997915823974,-3.1637865499862047e-13,False,slave1,0.09999977450933321,7.895064706552903e-12,False,slave2,5.233730992915825e-07,-1.4768346654420277e-11,False,slave3,-4.860936986478617e-07,-6.942748595768045e-11,False
6,master,-0.3800007483889832,-3.7312155163747674e-13,False,slave1,0.09999999734619512,6.711116565870244e-12,False,slave2,1.7656881220150245e-07,-1.4272348446044561e-11,False,slave3,2.0950076061454492e-07,-7.11418218325422e-11,False
7,master,-0.35999939039407136,-1.9487484371759185e-13,False,slave1,0.10000013661923382,5.901046785400027e-12,False,slave2,-1.4742195943448846e-06,-1.4117349005926943e-11,False,slave3,2.2341264979946346e-07,-6.811835674414732e-11,False
8,master,-0.33999900040705855,-2.019677057974295e-13,False,slave1,0.0999998720004603,8.455882246874875e-12,False,slave2,-3.1513760052025164e-08,-1.5481344078962643e-11,False,slave3,-2.0785591494255212e-07,-6.836771468958362e-11,False
9,master,-0.31999952231154477,-2.8368981236971246e-13,False,slave1,0.10000008091001834,5.527168425187585e-12,False,slave2,-4.060623901092422e-07,-1.464434710232552e-11,False,slave3,-3.887104743508299e-07,-6.905344903952766e-11,False
10,master,-0.30000032479803074,-3.8052279902514915e-13,False,slave1,0.09999966309090225,5.527168425187585e-12,False,slave2,5.37245270775151e-07,-1.638034083164549e-11,False,slave3,-5.834769229448936e-07,-7.1266500805262e-11,False
11,master,-0.279998868599419,-2.543932081268059e-13,False,slave1,0.09999995556428352,5.215603125007241e-12,False,slave2,1.010275439954772e-08,-1.5171345198727407e-11,False,slave3,-4.091324472092761e-08,-6.652869984200207e-11,False
12,master,-0.25999968511500493,-1.2918877315194106e-13,False,slave1,0.10000027589227253,7.1473079861214015e-12,False,slave2,-2.2572416082198427e-07,-1.520234508675027e-11,False,slave3,2.9297209572579086e-07,-6.740145265102416e-11,False
13,master,-0.23999964585549172,-2.1399473280241655e-13,False,slave1,0.09999988592776417,6.67996003585254e-12,False,slave2,9.395382437986377e-07,-1.3807350125691707e-11,False,slave3,-8.060671499096617e-07,-7.076778491439271e-11,False
14,master,-0.22000151455357658,-1.695872484763304e-13,False,slave1,0.09999999734619512,6.58649044579943e-12,False,slave2,-2.2572416082198427e-07,-1.4117349005926943e-11,False,slave3,8.224228355627194e-10,-6.821186597368469e-11,False
15,master,-0.20000178393426307,-1.3905710300218817e-13,False,slave1,0.09999946810864807,8.393569186839468e-12,False,slave2,-3.769417084888149e-09,-1.498534587058362e-11,False,slave3,3.6253154165211826e-07,-6.74637921373824e-11,False
16,master,-0.17999913526215258,-1.529344418540804e-13,False,slave1,0.1000007076386925,5.932203315421039e-12,False,slave2,4.4014007039017145e-07,-1.461334721430266e-11,False,slave3,9.820564713259455e-08,-6.858590289183749e-11,False
17,master,-0.1599991801772393,-2.849233536009998e-13,False,slave1,0.10000104189398537,4.623629054664257e-12,False,slave2,-5.447841049440599e-07,-1.523334497477313e-11,False,slave3,-7.504195931682528e-07,-6.765081059645715e-11,False
18,master,-0.14000137154462383,-3.771305606391477e-13,False,slave1,0.0999991756352668,6.648803505834837e-12,False,slave2,-1.008746174698677e-07,-1.5512343966985505e-11,False,slave3,-1.2438457983130619e-07,-6.665337881471856e-11,False
19,master,-0.12000081320841116,-2.389739427358174e-13,False,slave1,0.09999989985506803,5.776420665329213e-12,False,slave2,-8.700244598629919e-08,-1.4148348893949805e-11,False,slave3,-1.8003213657271505e-07,-6.699624598969224e-11,False
20,master,-0.09999886599129995,-1.4090741484909335e-13,False,slave1,0.09999963523629452,5.1844465949895375e-12,False,slave2,-6.418893053290395e-07,-1.504734564663265e-11,False,slave3,-1.8003213657271505e-07,-6.814952648732644e-11,False
21,master,-0.08000077677668475,-2.9725876591379577e-13,False,slave1,0.09999955167247129,8.362412656821764e-12,False,slave2,-3.5057370417410083e-07,-1.4117349005926943e-11,False,slave3,3.068839849107094e-07,-6.992620184854975e-11,False
22,master,-0.05999997994577235,-1.3782356177090082e-13,False,slave1,0.100000011273499,6.929212275994168e-12,False,slave2,9.33357833000914e-08,-1.3745350349642675e-11,False,slave3,-1.3089466349355816e-08,-7.051842696895641e-11,False
23,master,-0.04000104898515804,-1.322726262301336e-13,False,slave1,0.10000002520080287,5.901046785400027e-12,False,slave2,4.2626789890660294e-07,-1.659734004780883e-11,False,slave3,-6.947720364277113e-07,-6.92404674986024e-11,False
24,master,-0.019999578757446325,-1.8685682571427577e-13,False,slave1,0.10000022018305704,6.337238205651184e-12,False,slave2,9.33357833000914e-08,-1.3621350797547918e-11,False,slave3,7.938001063941338e-07,-7.042491773941904e-11,False
25,master,1.512684565778584e-06,-1.298055437675589e-13,False,slave1,0.10000009483732222,7.178464516139105e-12,False,slave2,-7.112501627477494e-07,-1.4892346206515033e-11,False,slave3,2.2341264979946346e-07,-6.77131500828154e-11,False
26,master,0.019999629957380943,-3.3611531469908885e-13,False,slave1,0.10000030374688026,6.648803505834837e-12,False,slave2,2.1818532665307533e-07,-1.523334497477313e-11,False,slave3,1.9558887142875903e-07,-7.101714285982901e-11,False
27,master,0.04000027246819351,-1.8068911955786486e-13,False,slave1,0.10000086083903506,6.150299025548272e-12,False,slave2,3.152905270380549e-07,-1.5729343183152156e-11,False,slave3,1.4734312020481255e-08,-7.02378992803443e-11,False
28,master,0.05999962430180739,-1.817006233677738e-14,False,slave1,0.100000011273499,5.4960118951665725e-12,False,slave2,7.869443574793841e-07,-1.4675346990348383e-11,False,slave3,2.512364281701679e-07,-6.811835674414732e-11,False
29,master,0.07999868152432159,-1.7513818401709763e-13,False,slave1,0.09999988592776417,5.558324955205288e-12,False,slave2,-7.38994505714019e-07,-1.4210348669995529e-11,False,slave3,-3.469748067960743e-07,-7.005088082126624e-11,False
30,master,0.09999978699543369,-7.059556466615377e-14,False,slave1,0.09999978843663708,4.4678464045757395e-12,False,slave2,-1.0857987928049664e-06,-1.641134071966835e-11,False,slave3,1.1211753631751309e-07,-6.930280698496396e-11,False
31,master,0.11999878810154793,-1.2918877315194106e-13,False,slave1,0.09999953774516743,6.929212275994168e-12,False,slave2,1.6269664071793394e-07,-1.5884342623266465e-11,False,slave3,-5.4825133905846146e-08,-6.843005417594187e-11,False
32,master,0.13999905182666092,-1.6187761578084908e-13,False,slave1,0.10000019232844931,6.243768615598074e-12,False,slave2,-6.280171338463383e-07,-1.4179348781972667e-11,False,slave3,-5.4825133905846146e-08,-6.780665931235608e-11,False
33,master,0.15999969433747346,-2.8183950052278143e-13,False,slave1,0.09999925919909002,5.994516375456446e-12,False,slave2,1.7656881220150245e-07,-1.560534363105409e-11,False,slave3,1.5385320387313606e-07,-6.849239366230012e-11,False
34,master,0.18000016849908618,-1.4244934138821547e-13,False,slave1,0.10000012269192995,6.866899215958761e-12,False,slave2,1.0366434441836173e-06,-1.523334497477313e-11,False,slave3,-6.873702309076468e-08,-6.992620184854975e-11,False
35,master,0.1999997027109999,-3.2038766400029144e-13,False,slave1,0.10000054051104605,4.74825517473838e-12,False,slave2,-3.1513760052025164e-08,-1.5326344638845025e-11,False,slave3,-5.417412553892706e-07,-6.983269261901237e-11,False
36,master,0.22000190245191087,-2.7813887682894523e-13,False,slave1,0.09999916170796293,5.651794545258399e-12,False,slave2,5.92733956709425e-07,-1.4489347662207903e-11,False,slave3,-2.700135553427435e-08,-6.977035313265413e-11,False
37,master,0.24000017404482585,-2.2941399819340504e-13,False,slave1,0.10000073549330024,4.997507414880008e-12,False,slave2,2.3205749813664384e-07,-1.5915342511292636e-11,False,slave3,-4.026223635366158e-07,-6.902227929634853e-11,False
