,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,master,-0.4999979115731655,-1.9271614656285191e-13,False,slave1,0.09999996949158739,9.604969239928017e-10,False,slave2,7.94636118165229e-08,-7.459734820556156e-10,False,slave3,-1.3089466349355816e-08,-5.6822360481222115e-09,False
1,master,-0.4800001871151499,-3.518429653979121e-13,False,slave1,0.10001392465006513,5.340229245078055e-12,False,slave2,1.8446218656083778e-05,-1.1947356844276982e-11,False,slave3,5.712098794311005e-07,-7.008205056444537e-11,False
2,master,-0.4600000215937368,-6.226916135502877e-14,False,slave1,0.10000015054653769,4.997507414880008e-12,False,slave2,-2.3959633230555277e-07,-1.3900349789760293e-11,False,slave3,9.820564713259455e-08,-7.076778491439271e-11,False
3,master,-0.43999984204322384,-3.4690880047278855e-13,False,slave1,0.10000052658374219,5.1844465949895375e-12,False,slave2,2.73674012586482e-07,-1.4334348222090285e-11,False,slave3,-6.53036368871221e-07,-6.989503210537062e-11,False
4,master,-0.4200007006461097,-1.239462229190086e-13,False,slave1,0.10000048480183057,4.810568234773787e-12,False,slave2,-1.2861896043700471e-07,-1.328035202928982e-11,False,slave3,2.37324538984382e-07,-6.805601725778907e-11,False
5,master,-0.39999946891309773,-3.166870403064294e-13,False,slave1,0.09999978843663708,4.125124574377692e-12,False,slave2,-3.5057370417410083e-07,-1.557434374303123e-11,False,slave3,-3.1915102842536985e-07,-7.145351926433675e-11,False
6,master,-0.38000100091278294,-1.5478475370098558e-13,False,slave1,0.10000038731070349,6.742273095887947e-12,False,slave2,6.482226426436991e-07,-1.4520347550230765e-11,False,slave3,2.0950076061454492e-07,-6.818069623050557e-11,False
7,master,-0.3600001339363706,-2.1800374180408752e-13,False,slave1,0.09999966309090225,5.3713857750957585e-12,False,slave2,-1.979798178557146e-07,-1.5171345198727407e-11,False,slave3,-4.4435803109223876e-07,-7.039374799623992e-11,False
8,master,-0.339999547541958,-1.2826361722848847e-13,False,slave1,0.09999910599874744,5.714107605293806e-12,False,slave2,8.008165289629526e-07,-1.5884342623266465e-11,False,slave3,-4.860936986478617e-07,-7.001971107808712e-11,False
9,master,-0.32000159861834265,-9.649993052303305e-14,False,slave1,0.09999995556428352,4.5301594646111465e-12,False,slave2,9.33357833000914e-08,-1.5326344638845025e-11,False,slave3,4.255809039118569e-08,-7.017555979398605e-11,False
10,master,-0.29999942693563164,-2.741298678273001e-13,False,slave1,0.09999989985506803,3.720089684144238e-12,False,slave2,-6.002727908792013e-07,-1.5667343407103123e-11,False,slave3,3.764434308370368e-07,-6.933397672814308e-11,False
11,master,-0.2799994297634184,-1.9055744940811197e-13,False,slave1,0.10000033160148801,6.67996003585254e-12,False,slave2,3.784709736581737e-08,-1.4148348893949805e-11,False,slave3,-1.3829646901709208e-07,-7.064310594167622e-11,False
12,master,-0.2600010880250035,-2.368152455811033e-13,False,slave1,0.09999976058202933,4.717098644720676e-12,False,slave2,9.33357833000914e-08,-1.4675346990348383e-11,False,slave3,1.9558887142875903e-07,-7.073661517121359e-11,False
13,master,-0.23999933721529204,-1.890155228690157e-13,False,slave1,0.0999999137823719,3.720089684144238e-12,False,slave2,3.985235559394659e-07,-1.4582347326279797e-11,False,slave3,-5.4825133905846146e-08,-6.811835674414732e-11,False
14,master,-0.219999157664779,-5.088110870782324e-13,False,slave1,0.09999994163697964,6.025672905474149e-12,False,slave2,-9.332049064848455e-07,-1.5853342735243603e-11,False,slave3,8.224228355627194e-10,-6.983269261901237e-11,False
15,master,-0.19999820651376676,-2.45758419507872e-13,False,slave1,0.10000008091001834,3.8135592741973486e-12,False,slave2,-7.313027450273069e-08,-1.3993349453828878e-11,False,slave3,2.790602065408723e-07,-6.799367777143082e-11,False
16,master,-0.17999955613515214,-2.571686758971895e-13,False,slave1,0.09999957952707902,5.83873372536462e-12,False,slave2,-1.2861896043700471e-07,-1.4272348446044561e-11,False,slave3,9.820564713259455e-08,-7.073661517121359e-11,False
17,master,-0.15999999386503846,-3.860737345659164e-13,False,slave1,0.09999957952707902,7.303090636209919e-12,False,slave2,3.985235559394659e-07,-1.6535340271763108e-11,False,slave3,4.255809039118569e-08,-6.79625080282517e-11,False
18,master,-0.1399998423727254,-3.2902245261922535e-13,False,slave1,0.10000080512981958,6.461864325725307e-12,False,slave2,3.985235559394659e-07,-1.715533803223358e-11,False,slave3,1.816769822438405e-07,-6.839888443276274e-11,False
19,master,-0.12000035024811165,-3.19462508076813e-13,False,slave1,0.09999960738168677,6.368394735672197e-12,False,slave2,1.0720795478452727e-07,-1.582234284722074e-11,False,slave3,7.798882172092153e-07,-6.830537520322537e-11,False
20,master,-0.09999963759179915,-3.1761219622988197e-13,False,slave1,0.10000017840114545,4.685942114702973e-12,False,slave2,-3.5057370417410083e-07,-1.486134631849217e-11,False,slave3,-9.034503742058261e-07,-6.880409109409136e-11,False
21,master,-0.08000086095128467,-3.564687450152009e-13,False,slave1,0.09999932883560937,6.617646975817133e-12,False,slave2,-1.841076463721461e-07,-1.5171345198727407e-11,False,slave3,-1.1260406011697269e-06,-6.846122391912099e-11,False
22,master,-0.05999758096967483,-3.0188454553108457e-13,False,slave1,0.10000037338339962,5.4960118951665725e-12,False,slave2,1.3495229775079692e-07,-1.4117349005926943e-11,False,slave3,4.4600287676423156e-07,-6.945865570085958e-11,False
23,master,-0.040000165151858946,-1.1993721391733763e-13,False,slave1,0.09999952381786353,5.745264135311509e-12,False,slave2,-6.696336482970439e-07,-1.6349340943622628e-11,False,slave3,-2.913272500546654e-07,-7.051842696895641e-11,False
24,master,-0.019999171913546745,-2.6950408820998547e-13,False,slave1,0.10000015054653769,3.595463564073424e-12,False,slave2,5.171926884938588e-08,-1.2908353373005552e-11,False,slave3,3.486196524671997e-07,-6.755730136691978e-11,False
25,master,-1.138815331492779e-06,-1.9765031148794962e-13,False,slave1,0.09999955167247129,5.4960118951665725e-12,False,slave2,-5.447841049440599e-07,-1.2629354380796487e-11,False,slave3,5.43386101060396e-07,-6.786899879871433e-11,False
26,master,0.01999991053938065,-2.892407479104797e-13,False,slave1,0.09999984414585257,6.898055745976465e-12,False,slave2,2.0431315516950682e-07,-1.538834441489075e-11,False,slave3,4.1817909839265976e-07,-6.72144341919461e-11,False
27,master,0.03999999188619379,-1.205539845329813e-13,False,slave1,0.09999938454482485,4.904037824826897e-12,False,slave2,-1.841076463721461e-07,-1.5760343071175018e-11,False,slave3,-1.3089466349355816e-08,-6.889760032363204e-11,False
28,master,0.060001125415505854,-2.17386971188418e-13,False,slave1,0.10000020625575318,3.844715804218361e-12,False,slave2,1.4882446923436543e-07,-1.6504340383736937e-11,False,slave3,-3.1915102842536985e-07,-6.578062600569647e-11,False
29,master,0.08000164166441856,-1.1747013145478877e-13,False,slave1,0.09999934276291324,4.093968044359989e-12,False,slave2,-2.9508501824069416e-07,-1.3962349565806016e-11,False,slave3,5.85121768616019e-07,-6.643519061246139e-11,False
30,master,0.09999817364893535,-1.6126084516523125e-13,False,slave1,0.09999971880011772,5.3090727150603515e-12,False,slave2,6.759669856108361e-07,-1.5140345310701237e-11,False,slave3,-1.1956000470960543e-06,-6.696507624651311e-11,False
31,master,0.11999927912004743,-1.8161427548131745e-13,False,slave1,0.09999985807315644,6.181455555565976e-12,False,slave2,3.0141835555448637e-07,-1.4303348334067423e-11,False,slave3,5.016504335039057e-07,-6.852356340547924e-11,False
32,master,0.14000053891125938,-3.2100443461590927e-13,False,slave1,0.10000026196496867,4.74825517473838e-12,False,slave2,-4.060623901092422e-07,-1.4489347662207903e-11,False,slave3,5.155623226896916e-07,-6.849239366230012e-11,False
33,master,0.15999824934017493,-1.9919223802707173e-13,False,slave1,0.1000002898195764,5.901046785400027e-12,False,slave2,2.45929669619345e-07,-1.4954345982560757e-11,False,slave3,2.37324538984382e-07,-6.674688804425594e-11,False
34,master,0.1800007717503856,-1.7421302809364504e-13,False,slave1,0.10000015054653769,4.904037824826897e-12,False,slave2,2.1818532665307533e-07,-1.4830346430466e-11,False,slave3,-6.873702309076468e-08,-6.927163724178483e-11,False
35,master,0.19999883290680082,-2.7721372090549264e-13,False,slave1,0.10000063800217314,6.866899215958761e-12,False,slave2,-3.921902186256737e-07,-1.504734564663265e-11,False,slave3,8.429375794680866e-08,-6.761964085327803e-11,False
36,master,0.2199983671187145,-2.019677057974295e-13,False,slave1,0.10000003912810673,7.2719341061922155e-12,False,slave2,-5.031675904942218e-07,-1.656634015978597e-11,False,slave3,-4.026223635366158e-07,-6.671571830107681e-11,False
37,master,0.2400005528305255,-7.707165613037359e-14,False,slave1,0.09999976058202933,5.090977004936427e-12,False,slave2,-9.193327350004096e-07,-1.4830346430466e-11,False,slave3,1.4734312020481255e-08,-6.690273676015156e-11,False
38,master,0.2599987262197406,-2.198540536509927e-13,False,slave1,0.09999970487281386,5.994516375456446e-12,False,slave2,2.0431315516950682e-07,-1.4210348669995529e-11,False,slave3,-1.939440257576336e-07,-6.902227929634853e-11,False
39,master,0.2799999439236525,-3.416662502398561e-13,False,slave1,0.09999966309090225,3.2838982638930804e-12,False,slave2,-3.769417084888149e-09,-1.3187352365221235e-11,False,slave3,-6.873702309076468e-08,-6.983269261901237e-11,False
40,master,0.29999872056416704,-3.120612606891406e-13,False,slave1,0.09999969094550999,3.720089684144238e-12,False,slave2,1.010275439954772e-08,-1.5450344190936473e-11,False,slave3,-2.700135553427435e-08,-6.877292135091223e-11,False
41,master,0.3199996857442792,-3.1113610476566215e-13,False,slave1,0.10000013661923382,3.315054793910784e-12,False,slave2,-6.835058197806124e-07,-1.4768346654420277e-11,False,slave3,-9.656080146146911e-08,-6.777548956917365e-11,False
42,master,0.3399984483556937,-2.787556474445889e-13,False,slave1,0.09999964916359838,4.062811514342285e-12,False,slave2,3.784709736581737e-08,-1.4458347774185041e-11,False,slave3,9.820564713259455e-08,-6.793133828507257e-11,False
43,master,0.3600006340675047,-2.2386306265263781e-13,False,slave1,0.09999988592776417,5.620638015240695e-12,False,slave2,-4.060623901092422e-07,-1.5078345534655513e-11,False,slave3,5.572979902453146e-07,-6.696507624651311e-11,False
44,master,0.37999976143551883,-2.8831559198700125e-13,False,slave1,0.09999970487281386,4.499002934593443e-12,False,slave2,-2.3959633230555277e-07,-1.6349340943622628e-11,False,slave3,1.4734312020481255e-08,-6.78378290555352e-11,False
45,master,0.3999995481712323,-2.3126431004033607e-13,False,slave1,0.09999955167247129,4.84172476479149e-12,False,slave2,2.0431315516950682e-07,-1.4334348222090285e-11,False,slave3,3.486196524671997e-07,-6.836771468958362e-11,False
46,master,0.41999833884084675,-3.077438663796607e-13,False,slave1,0.10000026196496867,4.187437634413099e-12,False,slave2,-3.367015326905323e-07,-1.3342351805335544e-11,False,slave3,1.1972448927671797e-06,-6.846122391912099e-11,False
47,master,0.43999943028285887,-9.403284806045835e-14,False,slave1,0.09999905028953197,7.240777576174512e-12,False,slave2,3.846513844558974e-07,-1.3435351469407438e-11,False,slave3,-3.1915102842536985e-07,-7.107948234618726e-11,False
48,master,0.4600007321613707,-4.0488523834293216e-13,False,slave1,0.10000038731070349,5.807577195346916e-12,False,slave2,4.1239572742303443e-07,-1.597734228733836e-11,False,slave3,-2.700135553427435e-08,-6.96145044167552e-11,False
49,master,0.4799999998203847,-3.166870403064294e-13,False,slave1,0.09999967701820611,6.742273095887947e-12,False,slave2,-1.979798178557146e-07,-1.557434374303123e-11,False,slave3,-1.1677762687262172e-06,-7.089246388710921e-11,False
50,master,0.4999995620904984,-1.4892543285240944e-13,False,slave1,0.10000034552879188,4.4678464045757395e-12,False,slave2,3.5690704148789304e-07,-1.3435351469407438e-11,False,slave3,-5.973888121298121e-07,-6.942748595768045e-11,False
51,master,0.5199993347971119,-1.9765031148794962e-13,False,slave1,0.10000017840114545,5.402542305113462e-12,False,slave2,6.559144033295439e-08,-1.538834441489075e-11,False,slave3,-2.774153608697469e-07,-6.77131500828154e-11,False
52,master,0.5400009733740234,-3.9470852318487614e-13,False,slave1,0.10000074942060411,6.648803505834837e-12,False,slave2,-6.418893053290395e-07,-1.4489347662207903e-11,False,slave3,1.6776509305892195e-07,-6.920929775542328e-11,False
53,master,0.5599998622473379,-3.7435509286873824e-13,False,slave1,0.09999960738168677,5.4336988351311655e-12,False,slave2,4.4014007039017145e-07,-1.3528351133476024e-11,False,slave3,4.255809039118569e-08,-6.91157885258859e-11,False
54,master,0.5799986950042523,-2.5038419912516077e-13,False,slave1,0.09999967701820611,7.053838396068291e-12,False,slave2,-2.2572416082198427e-07,-1.4830346430466e-11,False,slave3,1.4734312020481255e-08,-6.805601725778907e-11,False
55,master,0.5999999547954641,-2.6642023513179294e-13,False,slave1,0.10000058229295768,5.994516375456446e-12,False,slave2,1.4882446923436543e-07,-1.3652350685574089e-11,False,slave3,-2.2176780412920538e-07,-6.955216493039695e-11,False
56,master,0.6200003911866949,-3.4043270900856873e-13,False,slave1,0.10000012269192995,5.869890255382323e-12,False,slave2,3.5690704148789304e-07,-1.3962349565806016e-11,False,slave3,-7.782433715380899e-07,-6.839888443276274e-11,False
