,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,master,-0.499999834,-2.13E-13,FALSE,slave1,0.100000011,9.73E-08,FALSE,slave2,2.40E-08,-7.69E-08,FALSE,slave3,1.54E-07,-5.65E-07,FALSE
1,master,-0.480001338,-3.54E-13,FALSE,slave1,0.09999958,9.62E-08,FALSE,slave2,2.60E-07,-7.67E-08,FALSE,slave3,-1.14E-06,-5.66E-07,FALSE
2,master,-0.460000639,-2.00E-13,FALSE,slave1,0.0999999,9.56E-08,FALSE,slave2,1.63E-07,-7.53E-08,FALSE,slave3,-1.66E-07,-5.62E-07,FALSE
3,master,-0.439998874,-2.61E-13,FALSE,slave1,0.100000304,9.36E-08,FALSE,slave2,7.45E-07,-7.58E-08,FALSE,slave3,-6.25E-07,-5.63E-07,FALSE
4,master,-0.420000743,-2.99E-13,FALSE,slave1,0.099999552,9.45E-08,FALSE,slave2,3.15E-07,-7.78E-08,FALSE,slave3,-5.00E-07,-5.61E-07,FALSE
5,master,-0.399999609,-4.45E-13,FALSE,slave1,0.100000262,9.56E-08,FALSE,slave2,-3.09E-07,-7.67E-08,FALSE,slave3,5.29E-07,-5.64E-07,FALSE
6,master,-0.379999612,-1.91E-13,FALSE,slave1,0.100000178,9.34E-08,FALSE,slave2,2.18E-07,-7.55E-08,FALSE,slave3,2.65E-07,-5.63E-07,FALSE
7,master,-0.360000232,-3.04E-13,FALSE,slave1,0.099999983,9.48E-08,FALSE,slave2,7.18E-07,-7.69E-08,FALSE,slave3,3.07E-07,-5.63E-07,FALSE
8,master,-0.340000123,-1.55E-13,FALSE,slave1,0.099999761,9.34E-08,FALSE,slave2,-7.94E-07,-7.78E-08,FALSE,slave3,-4.72E-07,-5.63E-07,FALSE
9,master,-0.320000196,-2.30E-13,FALSE,slave1,0.100000164,9.56E-08,FALSE,slave2,-5.31E-07,-7.64E-08,FALSE,slave3,8.43E-08,-5.61E-07,FALSE
10,master,-0.300000353,-2.57E-13,FALSE,slave1,0.099999816,9.42E-08,FALSE,slave2,-1.29E-07,-7.75E-08,FALSE,slave3,-3.05E-07,-5.65E-07,FALSE
11,master,-0.279999893,-1.48E-13,FALSE,slave1,0.100000332,9.59E-08,FALSE,slave2,-1.76E-08,-7.64E-08,FALSE,slave3,-1.31E-08,-5.63E-07,FALSE
12,master,-0.260000288,-3.36E-13,FALSE,slave1,0.100000234,9.78E-08,FALSE,slave2,6.07E-07,-7.72E-08,FALSE,slave3,-1.31E-08,-5.64E-07,FALSE
13,master,-0.239997654,-1.56E-13,FALSE,slave1,0.100000373,9.73E-08,FALSE,slave2,3.57E-07,-7.78E-08,FALSE,slave3,4.32E-07,-5.63E-07,FALSE
14,master,-0.219998386,-2.23E-13,FALSE,slave1,0.099999733,9.64E-08,FALSE,slave2,-4.54E-08,-7.78E-08,FALSE,slave3,6.41E-07,-5.65E-07,FALSE
15,master,-0.20000062,-1.54E-13,FALSE,slave1,0.099999844,9.56E-08,FALSE,slave2,4.12E-07,-7.55E-08,FALSE,slave3,-1.24E-07,-5.65E-07,FALSE
16,master,-0.179999781,-1.09E-13,FALSE,slave1,0.099999858,9.87E-08,FALSE,slave2,-3.09E-07,-7.69E-08,FALSE,slave3,4.46E-07,-5.65E-07,FALSE
17,master,-0.160000737,-5.52E-14,FALSE,slave1,0.100000067,9.67E-08,FALSE,slave2,3.15E-07,-7.69E-08,FALSE,slave3,-4.17E-07,-5.62E-07,FALSE
18,master,-0.140000782,-3.35E-13,FALSE,slave1,0.100000192,9.64E-08,FALSE,slave2,3.15E-07,-7.78E-08,FALSE,slave3,-4.03E-07,-5.62E-07,FALSE
19,master,-0.120002342,-2.17E-13,FALSE,slave1,0.100000262,9.81E-08,FALSE,slave2,-1.70E-07,-7.58E-08,FALSE,slave3,-2.22E-07,-5.63E-07,FALSE
20,master,-0.100000199,-2.47E-13,FALSE,slave1,0.099999691,9.39E-08,FALSE,slave2,-5.17E-07,-7.58E-08,FALSE,slave3,2.37E-07,-5.65E-07,FALSE
21,master,-0.079999865,-2.82E-13,FALSE,slave1,0.100000722,9.78E-08,FALSE,slave2,6.56E-08,-7.72E-08,FALSE,slave3,-5.83E-07,-5.66E-07,FALSE
22,master,-0.060000583,-3.68E-13,FALSE,slave1,0.099999134,9.62E-08,FALSE,slave2,-4.54E-08,-7.80E-08,FALSE,slave3,4.88E-07,-5.63E-07,FALSE
23,master,-0.039999674,-2.96E-13,FALSE,slave1,0.099999747,9.59E-08,FALSE,slave2,-5.86E-07,-7.67E-08,FALSE,slave3,5.57E-07,-5.67E-07,FALSE
24,master,-0.01999899,-2.38E-13,FALSE,slave1,0.100000011,9.64E-08,FALSE,slave2,3.01E-07,-7.58E-08,FALSE,slave3,8.22E-10,-5.63E-07,FALSE
25,master,1.24E-07,-2.20E-13,FALSE,slave1,0.099999566,9.56E-08,FALSE,slave2,2.88E-07,-7.75E-08,FALSE,slave3,8.22E-10,-5.65E-07,FALSE
26,master,0.020001061,-2.61E-13,FALSE,slave1,0.100000387,9.50E-08,FALSE,slave2,2.32E-07,-7.64E-08,FALSE,slave3,-5.48E-08,-5.65E-07,FALSE
